model_name,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,accuracy,precision,recall,f1_score
XGB_Base,300,5,0.1,1.0,1.0,0,0.0,1,0.67,0.3253,0.5901,0.4194
Tune-learning_rate=0.3,300,5,0.3,1.0,1.0,0,0.0,1,0.7068,0.3347,0.4577,0.3866
Tune-learning_rate=0.1,300,5,0.1,1.0,1.0,0,0.0,1,0.67,0.3253,0.5901,0.4194
Tune-learning_rate=0.05,300,5,0.05,1.0,1.0,0,0.0,1,0.6315,0.312,0.6841,0.4285
Tune-learning_rate=0.01,300,5,0.01,1.0,1.0,0,0.0,1,0.6047,0.3058,0.754,0.4351
Tune-n_estimators=100,100,5,0.3,1.0,1.0,0,0.0,1,0.6759,0.3247,0.56,0.411
Tune-n_estimators=200,200,5,0.3,1.0,1.0,0,0.0,1,0.7009,0.335,0.4888,0.3976
Tune-n_estimators=300,300,5,0.3,1.0,1.0,0,0.0,1,0.7068,0.3347,0.4577,0.3866
Tune-n_estimators=500,500,5,0.3,1.0,1.0,0,0.0,1,0.7152,0.3406,0.4384,0.3834
Tune-n_estimators=800,800,5,0.3,1.0,1.0,0,0.0,1,0.7159,0.3353,0.414,0.3705
Tune-n_estimators=1000,1000,5,0.3,1.0,1.0,0,0.0,1,0.7183,0.3397,0.4185,0.375
Tune-n_estimators=1500,1500,5,0.3,1.0,1.0,0,0.0,1,0.7183,0.3397,0.4185,0.375
Tune-max_depth=3,1000,3,0.3,1.0,1.0,0,0.0,1,0.7145,0.3381,0.4319,0.3793
Tune-max_depth=5,1000,5,0.3,1.0,1.0,0,0.0,1,0.7183,0.3397,0.4185,0.375
Tune-max_depth=7,1000,7,0.3,1.0,1.0,0,0.0,1,0.7174,0.3378,0.416,0.3728
Tune-max_depth=9,1000,9,0.3,1.0,1.0,0,0.0,1,0.7185,0.3399,0.4182,0.375
Tune-subsample=0.6,1000,9,0.3,0.6,1.0,0,0.0,1,0.7094,0.3276,0.4171,0.367
Tune-subsample=0.7,1000,9,0.3,0.7,1.0,0,0.0,1,0.7137,0.3368,0.4315,0.3783
Tune-subsample=0.8,1000,9,0.3,0.8,1.0,0,0.0,1,0.7137,0.3327,0.4153,0.3694
Tune-subsample=0.9,1000,9,0.3,0.9,1.0,0,0.0,1,0.7132,0.3305,0.4097,0.3659
Tune-subsample=1.0,1000,9,0.3,1.0,1.0,0,0.0,1,0.7185,0.3399,0.4182,0.375
Tune-colsample_bytree=0.5,1000,9,0.3,1.0,0.5,0,0.0,1,0.7141,0.3332,0.4153,0.3697
Tune-colsample_bytree=0.7,1000,9,0.3,1.0,0.7,0,0.0,1,0.7162,0.3336,0.4061,0.3663
Tune-colsample_bytree=0.9,1000,9,0.3,1.0,0.9,0,0.0,1,0.7143,0.3324,0.4113,0.3676
Tune-colsample_bytree=1.0,1000,9,0.3,1.0,1.0,0,0.0,1,0.7185,0.3399,0.4182,0.375
Tune-gamma=0,1000,9,0.3,1.0,1.0,0,0.0,1,0.7185,0.3399,0.4182,0.375
Tune-gamma=1,1000,9,0.3,1.0,1.0,1,0.0,1,0.6945,0.3316,0.5049,0.4003
Tune-gamma=5,1000,9,0.3,1.0,1.0,5,0.0,1,0.6549,0.3201,0.6308,0.4247
Tune-gamma=10,1000,9,0.3,1.0,1.0,10,0.0,1,0.6521,0.3216,0.6517,0.4307
Tune-reg_alpha=0,1000,9,0.3,1.0,1.0,0,0.0,1,0.7185,0.3399,0.4182,0.375
Tune-reg_alpha=0.1,1000,9,0.3,1.0,1.0,0,0.1,1,0.7139,0.3317,0.4106,0.367
Tune-reg_alpha=1,1000,9,0.3,1.0,1.0,0,1.0,1,0.7137,0.3289,0.4014,0.3616
Tune-reg_alpha=5,1000,9,0.3,1.0,1.0,0,5.0,1,0.7169,0.3347,0.407,0.3674
Tune-reg_alpha=10,1000,9,0.3,1.0,1.0,0,10.0,1,0.7178,0.3404,0.4236,0.3774
Tune-reg_lambda=0,1000,9,0.3,1.0,1.0,0,0.0,0,0.7116,0.3301,0.4158,0.368
Tune-reg_lambda=1,1000,9,0.3,1.0,1.0,0,0.0,1,0.7185,0.3399,0.4182,0.375
Tune-reg_lambda=5,1000,9,0.3,1.0,1.0,0,0.0,5,0.7148,0.3327,0.4099,0.3673
Tune-reg_lambda=10,1000,9,0.3,1.0,1.0,0,0.0,10,0.7167,0.3336,0.4039,0.3654
Tune-reg_lambda=20,1000,9,0.3,1.0,1.0,0,0.0,20,0.7172,0.3346,0.4048,0.3663
